,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
349,CDSL,EQ,1392.0,1414.95,1389.1,1396.85,1397.9,1387.75,719910,1009889240.8,12-SEP-2022,33130,INE736A01011
350,CEATLTD,EQ,1380.55,1405.05,1377.9,1388.15,1384.75,1380.55,52364,72737831.75,12-SEP-2022,4018,INE482A01020
351,CELEBRITY,EQ,22.3,24.75,22.3,23.0,23.1,22.5,414772,9680917.8,12-SEP-2022,1611,INE185H01016
352,CENTENKA,EQ,478.85,478.85,468.0,469.2,468.55,470.8,73060,34450398.75,12-SEP-2022,2131,INE485A01015
353,CENTEXT,EQ,13.7,14.25,13.65,13.8,13.8,13.75,317038,4393045.75,12-SEP-2022,936,INE281A01026
354,CENTRALBK,EQ,20.8,20.8,20.5,20.6,20.6,20.45,3835187,79039705.05,12-SEP-2022,6516,INE483A01010
355,CENTRUM,EQ,26.2,26.85,26.2,26.55,26.65,26.2,620634,16477804.45,12-SEP-2022,1547,INE660C01027
356,CENTUM,EQ,490.0,490.0,472.1,476.5,475.45,479.05,11595,5547879.85,12-SEP-2022,596,INE320B01020
357,CENTURYPLY,EQ,677.0,689.95,674.05,685.8,685.0,673.95,97091,66241037.9,12-SEP-2022,6449,INE348B01021
358,CENTURYTEX,EQ,910.8,942.25,905.9,937.55,938.0,906.55,398064,370882246.85,12-SEP-2022,12439,INE055A01016
359,CERA,EQ,5800.55,5955.0,5716.75,5864.0,5872.0,5543.4,85806,498476126.15,12-SEP-2022,13260,INE739E01017
360,CEREBRAINT,EQ,48.5,48.6,47.15,47.6,47.8,48.0,231325,11051115.25,12-SEP-2022,2337,INE345B01019
361,CESC,EQ,83.9,86.65,83.2,85.45,85.4,83.25,5181737,442694784.65,12-SEP-2022,22253,INE486A01021
362,CGCL,EQ,740.0,750.9,732.0,734.75,735.0,730.5,136386,100805925.3,12-SEP-2022,2178,INE180C01026
363,CGPOWER,EQ,228.2,234.5,226.8,229.65,229.0,227.35,4215323,970398929.85,12-SEP-2022,69844,INE067A01029
364,CHALET,EQ,336.5,336.5,331.25,332.8,332.2,335.25,134419,44751869.8,12-SEP-2022,3940,INE427F01016
365,CHAMBLFERT,EQ,352.45,365.0,352.0,364.35,363.55,351.55,3522284,1270470594.05,12-SEP-2022,48785,INE085A01013
366,CHEMBOND,EQ,189.25,194.25,188.75,191.8,191.1,189.25,16933,3247065.15,12-SEP-2022,419,INE995D01025
367,CHEMCON,EQ,412.55,444.0,412.55,440.65,440.95,412.05,722253,315588700.95,12-SEP-2022,17674,INE03YM01018
368,CHEMFAB,EQ,404.0,411.75,393.0,411.75,411.75,392.15,75739,30730804.55,12-SEP-2022,1024,INE783X01023
369,CHEMPLASTS,EQ,433.0,438.0,417.8,419.65,419.8,433.0,1022361,433876941.3,12-SEP-2022,8266,INE488A01050
370,CHENNPETRO,EQ,289.8,294.8,287.2,292.3,292.0,288.35,1215659,353943934.45,12-SEP-2022,9950,INE178A01016
371,CHEVIOT,EQ,1171.0,1182.0,1163.05,1167.7,1167.0,1169.35,4169,4878373.75,12-SEP-2022,323,INE974B01016
372,CHOICEIN,EQ,441.0,463.5,439.0,458.6,460.8,439.75,70320,31697555.15,12-SEP-2022,1424,INE102B01014
373,CHOLAFIN,EQ,794.75,803.95,788.65,798.2,799.0,790.75,1569958,1255392982.95,12-SEP-2022,30413,INE121A01024
374,CHOLAHLDNG,EQ,663.0,669.4,654.0,663.3,668.0,661.25,170731,112663368.55,12-SEP-2022,7473,INE149A01033
375,CIGNITITEC,EQ,597.2,600.0,581.55,583.75,582.9,591.3,49646,29267219.0,12-SEP-2022,1928,INE675C01017
376,CINELINE,EQ,130.9,132.5,128.3,129.25,128.5,128.35,51216,6693843.2,12-SEP-2022,448,INE704H01022
377,CINEVISTA,EQ,15.6,16.05,15.15,15.9,15.85,15.3,39752,626917.1,12-SEP-2022,214,INE039B01026
378,CIPLA,EQ,1058.3,1068.5,1057.1,1064.75,1064.9,1058.3,936787,996760501.95,12-SEP-2022,28243,INE059A01026
